timestamp,open,high,low,close,volume
1672531200000,16541.7,16542.1,16520.0,16524.6,1000.0
1672534800000,16524.6,16532.7,16510.0,16529.9,1200.0
1672538400000,16529.9,16545.0,16525.5,16520.0,1100.0
1672542000000,16520.0,16550.0,16518.8,16545.9,1300.0
1672545600000,16545.9,16560.0,16545.0,16558.4,1500.0
1672549200000,16558.4,16562.1,16550.0,16555.0,1400.0
1672552800000,16555.0,16565.0,16552.3,16563.0,1600.0
1672556400000,16563.0,16570.0,16560.0,16561.0,1700.0
1672560000000,16561.0,16580.0,16565.0,16579.0,1800.0
1672563600000,16579.0,16585.0,16575.0,16583.0,1900.0
1672567200000,16583.0,16590.0,16580.0,16588.0,2000.0
1672570800000,16588.0,16595.0,16585.0,16593.0,2100.0
1672574400000,16593.0,16600.0,16590.0,16591.0,2200.0
1672578000000,16591.0,16605.0,16595.0,16603.0,2300.0
1672581600000,16603.0,16610.0,16600.0,16608.0,2400.0
1672585200000,16608.0,16615.0,16605.0,16613.0,2500.0
1672588800000,16613.0,16620.0,16610.0,16618.0,2600.0
1672592400000,16618.0,16625.0,16615.0,16623.0,2700.0
1672596000000,16623.0,16630.0,16620.0,16628.0,2800.0
1672599600000,16628.0,16635.0,16625.0,16633.0,2900.0
1672603200000,16633.0,16640.0,16630.0,16638.0,3000.0
1672606800000,16638.0,16645.0,16635.0,16643.0,3100.0
1672610400000,16643.0,16650.0,16640.0,16648.0,3200.0
1672614000000,16648.0,16655.0,16645.0,16653.0,3300.0
1672617600000,16653.0,16660.0,16650.0,16658.0,3400.0
1672621200000,16658.0,16665.0,16655.0,16663.0,3500.0
1672624800000,16663.0,16670.0,16660.0,16668.0,3600.0
1672628400000,16668.0,16675.0,16665.0,16673.0,3700.0
1672632000000,16673.0,16680.0,16670.0,16678.0,3800.0
1672635600000,16678.0,16685.0,16675.0,16683.0,3900.0
1672639200000,16683.0,16690.0,16680.0,16688.0,4000.0
1672642800000,16688.0,16695.0,16685.0,16693.0,4100.0
1672646400000,16693.0,16700.0,16690.0,16698.0,4200.0
1672650000000,16698.0,16705.0,16695.0,16703.0,4300.0
1672653600000,16703.0,16710.0,16700.0,16708.0,4400.0
1672657200000,16708.0,16715.0,16705.0,16713.0,4500.0
1672660800000,16713.0,16720.0,16710.0,16718.0,4600.0
1672664400000,16718.0,16725.0,16715.0,16723.0,4700.0
1672668000000,16723.0,16730.0,16720.0,16728.0,4800.0
1672671600000,16728.0,16735.0,16725.0,16733.0,4900.0
1672675200000,16733.0,16740.0,16730.0,16738.0,5000.0
1672678800000,16738.0,16745.0,16735.0,16743.0,5100.0
1672682400000,16743.0,16750.0,16740.0,16748.0,5200.0
1672686000000,16748.0,16755.0,16745.0,16753.0,5300.0
1672689600000,16753.0,16760.0,16750.0,16758.0,5400.0
1672693200000,16758.0,16765.0,16755.0,16763.0,5500.0
1672696800000,16763.0,16770.0,16760.0,16768.0,5600.0
1672700400000,16768.0,16775.0,16765.0,16773.0,5700.0
1672704000000,16773.0,16780.0,16770.0,16778.0,5800.0
1672707600000,16778.0,16785.0,16775.0,16783.0,5900.0
1672711200000,16783.0,16790.0,16780.0,16788.0,6000.0
1672714800000,16788.0,16795.0,16785.0,16793.0,6100.0
1672718400000,16793.0,16800.0,16790.0,16798.0,6200.0
1672722000000,16798.0,16805.0,16795.0,16803.0,6300.0
1672725600000,16803.0,16810.0,16800.0,16808.0,6400.0
